id,from_node_id,to_node_id,transit_type,dir_flag,directed_route_id,link_type,name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,allowed_uses,agency_name,stop_sequence,directed_service_id
100079,150078,150083,bus,1,3913.2,1,transit_service_links,3.380777934913642,1,0,40.56122297436883,0,5,0,0.15,4,0,"LINESTRING (-80.371633 37.133394, -80.42121 37.162249)",t,Valley Metro Roanoke,4,3913.2:0;1;2;3;4;5;6;7
100080,150083,150080,bus,1,3913.2,1,transit_service_links,2.916978154824848,1,0,14.583675467835254,0,12,0,0.15,4,0,"LINESTRING (-80.42121 37.162249, -80.412533 37.203897)",t,Valley Metro Roanoke,5,3913.2:0;1;2;3;4;5;6;7
100081,150080,150094,bus,1,3913.2,1,transit_service_links,2.053562625618953,1,0,15.399794717802422,0,8,0,0.15,4,0,"LINESTRING (-80.412533 37.203897, -80.424586 37.232026)",t,Valley Metro Roanoke,6,3913.2:0;1;2;3;4;5;6;7
100082,150097,150100,bus,1,4037.1,1,transit_service_links,0.6715219441342777,1,0,8.05665199921149,0,5,0,0.15,4,0,"LINESTRING (-80.425016 37.222313, -80.424586 37.232026)",t,Valley Metro Roanoke,0,4037.1:0;1;2;3;4;5
100083,150100,150098,bus,1,4037.1,1,transit_service_links,2.2475059399720507,1,0,26.96467834399581,0,5,0,0.15,4,0,"LINESTRING (-80.424586 37.232026, -80.409721 37.201728)",t,Valley Metro Roanoke,1,4037.1:0;1;2;3;4;5
100084,150098,150099,bus,1,4037.1,1,transit_service_links,0.30368128555462,1,0,18.202674458818382,0,1,0,0.15,4,0,"LINESTRING (-80.409721 37.201728, -80.405477 37.198919)",t,Valley Metro Roanoke,2,4037.1:0;1;2;3;4;5
100085,150099,150096,bus,1,4037.1,1,transit_service_links,4.8958471769619205,1,0,20.980703565296423,0,14,0,0.15,4,0,"LINESTRING (-80.405477 37.198919, -80.371633 37.133394)",t,Valley Metro Roanoke,3,4037.1:0;1;2;3;4;5
100086,150096,150095,bus,1,4037.1,1,transit_service_links,25.092362348458888,1,0,43.01424933309144,0,35,0,0.15,4,0,"LINESTRING (-80.371633 37.133394, -79.94303 37.257185)",t,Valley Metro Roanoke,4,4037.1:0;1;2;3;4;5
100087,150101,150102,bus,1,4037.2,1,transit_service_links,25.092362348458888,1,0,37.63760258262377,0,40,0,0.15,4,0,"LINESTRING (-79.94303 37.257185, -80.371633 37.133394)",t,Valley Metro Roanoke,0,4037.2:0;1;2;3;4;5;6
100088,150102,150104,bus,1,4037.2,1,transit_service_links,4.898928728346582,1,0,29.390633306748818,0,10,0,0.15,4,0,"LINESTRING (-80.371633 37.133394, -80.405563 37.198939)",t,Valley Metro Roanoke,1,4037.2:0;1;2;3;4;5;6
100089,150104,150105,bus,1,4037.2,1,transit_service_links,0.30745822794785554,1,0,18.429064612259076,0,1,0,0.15,4,0,"LINESTRING (-80.405563 37.198939, -80.40975 37.201885)",t,Valley Metro Roanoke,2,4037.2:0;1;2;3;4;5;6
100090,150105,150106,bus,1,4037.2,1,transit_service_links,1.595872600838827,1,0,23.932105986085883,0,4,0,0.15,4,0,"LINESTRING (-80.40975 37.201885, -80.423372 37.222276)",t,Valley Metro Roanoke,3,4037.2:0;1;2;3;4;5;6
100091,150106,150107,bus,1,4037.2,1,transit_service_links,0.6769642780857675,1,0,8.121946947639682,0,5,0,0.15,4,0,"LINESTRING (-80.423372 37.222276, -80.424586 37.232026)",t,Valley Metro Roanoke,4,4037.2:0;1;2;3;4;5;6
100092,150107,150103,bus,1,4037.2,1,transit_service_links,0.6715219441342777,1,0,4.028728791926474,0,10,0,0.15,4,0,"LINESTRING (-80.424586 37.232026, -80.425016 37.222313)",t,Valley Metro Roanoke,5,4037.2:0;1;2;3;4;5;6
100093,150122,150121,bus,1,4724.1,1,transit_service_links,0.3142348433448809,1,0,18854.090600692853,0,0,0,0.15,4,0,"LINESTRING (-79.980067 37.305544, -79.984642 37.308272)",t,Valley Metro Roanoke,0,4724.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
100094,150121,150119,bus,1,4724.1,1,transit_service_links,0.1313011298735526,1,0,7.870197594818339,0,1,0,0.15,4,0,"LINESTRING (-79.984642 37.308272, -79.986574 37.30939)",t,Valley Metro Roanoke,1,4724.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
100095,150119,150120,bus,1,4724.1,1,transit_service_links,0.08911938110162095,1,0,5.341821045052205,0,1,0,0.15,4,0,"LINESTRING (-79.986574 37.30939, -79.987834 37.310202)",t,Valley Metro Roanoke,2,4724.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
100096,150120,150127,bus,1,4724.1,1,transit_service_links,0.16283397150056725,1,0,9.760278012022015,0,1,0,0.15,4,0,"LINESTRING (-79.987834 37.310202, -79.990092 37.308676)",t,Valley Metro Roanoke,3,4724.1:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
